Country/Region,Continent,Deaths,Cases
Nicaragua,North America,123,3902
Hong Kong,Asia,46,3850
Congo,Africa,58,3546
Montenegro,Europe,60,3480
Thailand,Asia,58,3330
Somalia,Africa,93,3227
Mayotte,Africa,39,3042
Eswatini,Africa,55,2968
Sri Lanka,Asia,11,2839
Cuba,North America,88,2775
Cabo Verde,Africa,27,2734
Namibia,Africa,15,2652
Mali,Africa,124,2552
Slovakia,Europe,29,2480
South Sudan,Africa,47,2450
Slovenia,Europe,125,2223
Lithuania,Europe,81,2171
Estonia,Europe,63,2124
Mozambique,Africa,15,2120
Rwanda,Africa,5,2111
Suriname,South America,29,2096
Guinea-Bissau,Africa,27,2032
Benin,Africa,38,1936
Iceland,Europe,10,1930
Sierra Leone,Africa,67,1877
Yemen,Asia,508,1768
Tunisia,Africa,51,1642
New Zealand,Australia/Oceania,22,1569
Angola,Africa,64,1483
Uruguay,South America,37,1318
Latvia,Europe,32,1275
Jordan,Asia,11,1232
Liberia,Africa,78,1224
Uganda,Africa,5,1223
Cyprus,Asia,19,1208
Georgia,Asia,17,1206
Burkina Faso,Africa,54,1158
Niger,Africa,69,1153
Togo,Africa,22,1012
Syria,Asia,48,999
Jamaica,North America,12,958
Malta,Europe,9,946
Andorra,Europe,52,944
Chad,Africa,76,942
Gambia,Africa,16,935
Sao Tome and Principe,Africa,15,878
Botswana,Africa,2,804
Bahamas,North America,14,761
Vietnam,Asia,10,747
Lesotho,Africa,23,742
Diamond Princess,,13,712
San Marino,Europe,42,699
Réunion,Africa,5,671
Channel Islands,Europe,47,597
Guyana,South America,22,538
Tanzania,Africa,21,509
Taiwan,Asia,7,477
Comoros,Africa,7,396
Burundi,Africa,1,395
Myanmar,Asia,6,357
Mauritius,Africa,10,344
Isle of Man,Europe,24,336
Mongolia,Asia,,293
Eritrea,Africa,,282
Guadeloupe,North America,14,279
Martinique,North America,15,276
Faeroe Islands,Europe,,266
Aruba,North America,3,263
Cambodia,Asia,,243
Trinidad and Tobago,North America,8,210
Cayman Islands,North America,1,203
Gibraltar,Europe,,190
Papua New Guinea,Australia/Oceania,3,163
Sint Maarten,North America,16,160
Bermuda,North America,9,157
Brunei ,Asia,3,141
Barbados,North America,7,133
Turks and Caicos,North America,2,129
Seychelles,Africa,,126
Monaco,Europe,4,125
Bhutan,Asia,,105
Antigua and Barbuda,North America,3,92
Liechtenstein,Europe,1,89
Belize,North America,2,86
French Polynesia,Australia/Oceania,,64
St. Vincent Grenadines,North America,,56
Saint Martin,North America,3,53
Macao,Asia,,46
Curaçao,North America,1,31
Fiji,Australia/Oceania,1,27
Saint Lucia,North America,,25
Timor-Leste,Asia,,25
Grenada,North America,,24
New Caledonia,Australia/Oceania,,22
Laos,Asia,,20
Dominica,North America,,18
Saint Kitts and Nevis,North America,,17
Greenland,North America,,14
Montserrat,North America,1,13
Caribbean Netherlands,North America,,13
Falkland Islands,South America,,13
Vatican City,Europe,,12
Western Sahara,Africa,1,10
